Date,Open,Close,High,Low,Volume
"2020-01-06 09:30:00",16.65,16.52,16.65,16.52,395565
"2020-01-06 09:31:00",16.53,16.43,16.53,16.41,268673
"2020-01-06 09:32:00",16.43,16.55,16.56,16.43,182214
"2020-01-06 09:33:00",16.54,16.53,16.56,16.50,100017
"2020-01-06 09:34:00",16.53,16.57,16.60,16.53,99089
"2020-01-06 09:35:00",16.58,16.66,16.66,16.58,89583
"2020-01-06 09:36:00",16.66,16.56,16.67,16.55,96679
"2020-01-06 09:37:00",16.56,16.55,16.57,16.54,82508
"2020-01-06 09:38:00",16.54,16.51,16.57,16.49,86843
"2020-01-06 09:39:00",16.52,16.52,16.54,16.49,76075
"2020-01-06 09:40:00",16.53,16.55,16.56,16.52,67514
"2020-01-06 09:41:00",16.56,16.55,16.58,16.54,178871
"2020-01-06 09:42:00",16.55,16.51,16.56,16.50,70533
"2020-01-06 09:43:00",16.51,16.58,16.58,16.51,76456
"2020-01-06 09:44:00",16.58,16.57,16.60,16.55,66279
"2020-01-06 09:45:00",16.58,16.62,16.62,16.58,96707
"2020-01-06 09:46:00",16.62,16.65,16.65,16.61,84405
"2020-01-06 09:47:00",16.65,16.67,16.67,16.64,149347
"2020-01-06 09:48:00",16.67,16.60,16.67,16.60,145899
"2020-01-06 09:49:00",16.60,16.60,16.61,16.58,77708
"2020-01-06 09:50:00",16.60,16.65,16.68,16.60,38453
"2020-01-06 09:51:00",16.65,16.63,16.66,16.61,69175
"2020-01-06 09:52:00",16.63,16.61,16.64,16.60,50943
"2020-01-06 09:53:00",16.61,16.62,16.63,16.60,16097
"2020-01-06 09:54:00",16.62,16.62,16.63,16.60,42302
"2020-01-06 09:55:00",16.63,16.60,16.63,16.60,22477
"2020-01-06 09:56:00",16.61,16.61,16.61,16.58,72061
"2020-01-06 09:57:00",16.61,16.59,16.63,16.59,35702
"2020-01-06 09:58:00",16.59,16.59,16.60,16.58,25433
"2020-01-06 09:59:00",16.59,16.53,16.59,16.53,64799
"2020-01-06 10:00:00",16.53,16.50,16.54,16.50,83971
"2020-01-06 10:01:00",16.50,16.52,16.53,16.50,63051
"2020-01-06 10:02:00",16.53,16.53,16.54,16.52,44538
"2020-01-06 10:03:00",16.53,16.54,16.56,16.52,98643
"2020-01-06 10:04:00",16.54,16.60,16.60,16.53,141825
"2020-01-06 10:05:00",16.59,16.58,16.60,16.57,28356
"2020-01-06 10:06:00",16.59,16.56,16.59,16.56,58450
"2020-01-06 10:07:00",16.57,16.54,16.57,16.53,54145
"2020-01-06 10:08:00",16.55,16.55,16.56,16.51,63870
"2020-01-06 10:09:00",16.56,16.52,16.57,16.52,46035
"2020-01-06 10:10:00",16.52,16.51,16.53,16.51,52671
"2020-01-06 10:11:00",16.51,16.53,16.53,16.51,85984
"2020-01-06 10:12:00",16.53,16.58,16.59,16.53,83976
"2020-01-06 10:13:00",16.59,16.56,16.59,16.54,59286
"2020-01-06 10:14:00",16.56,16.55,16.56,16.54,19372
"2020-01-06 10:15:00",16.55,16.56,16.56,16.55,19436
"2020-01-06 10:16:00",16.56,16.57,16.58,16.56,18045
"2020-01-06 10:17:00",16.57,16.58,16.59,16.57,27187
"2020-01-06 10:18:00",16.58,16.58,16.60,16.58,68821
"2020-01-06 10:19:00",16.59,16.61,16.61,16.58,313105
"2020-01-06 10:20:00",16.61,16.64,16.65,16.61,64347
"2020-01-06 10:21:00",16.64,16.67,16.67,16.62,140454
"2020-01-06 10:22:00",16.66,16.67,16.68,16.66,32167
"2020-01-06 10:23:00",16.68,16.66,16.69,16.64,68057
"2020-01-06 10:24:00",16.66,16.65,16.67,16.65,21453
"2020-01-06 10:25:00",16.65,16.68,16.68,16.63,144987
"2020-01-06 10:26:00",16.67,16.69,16.69,16.67,55485
"2020-01-06 10:27:00",16.69,16.69,16.69,16.68,19544
"2020-01-06 10:28:00",16.69,16.68,16.69,16.66,39728
"2020-01-06 10:29:00",16.67,16.67,16.68,16.67,15081
"2020-01-06 10:30:00",16.67,16.67,16.68,16.66,17969
"2020-01-06 10:31:00",16.66,16.65,16.67,16.64,35517
"2020-01-06 10:32:00",16.65,16.63,16.65,16.62,27309
"2020-01-06 10:33:00",16.63,16.64,16.65,16.63,41286
"2020-01-06 10:34:00",16.65,16.65,16.65,16.64,22344
"2020-01-06 10:35:00",16.65,16.64,16.65,16.64,19199
"2020-01-06 10:36:00",16.64,16.60,16.64,16.60,108406
"2020-01-06 10:37:00",16.60,16.60,16.61,16.60,29827
"2020-01-06 10:38:00",16.60,16.60,16.60,16.58,55775
"2020-01-06 10:39:00",16.60,16.60,16.61,16.58,28648
"2020-01-06 10:40:00",16.59,16.59,16.60,16.58,25645
"2020-01-06 10:41:00",16.59,16.62,16.62,16.59,18363
"2020-01-06 10:42:00",16.62,16.63,16.64,16.61,34192
"2020-01-06 10:43:00",16.64,16.64,16.64,16.62,17256
"2020-01-06 10:44:00",16.63,16.63,16.64,16.63,10598
"2020-01-06 10:45:00",16.63,16.63,16.64,16.63,12115
"2020-01-06 10:46:00",16.63,16.62,16.63,16.62,3448
"2020-01-06 10:47:00",16.63,16.63,16.63,16.62,14030
"2020-01-06 10:48:00",16.62,16.63,16.63,16.62,25283
"2020-01-06 10:49:00",16.63,16.64,16.64,16.62,27383
"2020-01-06 10:50:00",16.64,16.66,16.67,16.64,20035
"2020-01-06 10:51:00",16.67,16.66,16.67,16.66,6771
"2020-01-06 10:52:00",16.66,16.68,16.68,16.66,28302
"2020-01-06 10:53:00",16.67,16.68,16.68,16.67,77668
"2020-01-06 10:54:00",16.67,16.68,16.69,16.67,43739
"2020-01-06 10:55:00",16.69,16.68,16.69,16.68,20429
"2020-01-06 10:56:00",16.68,16.68,16.70,16.68,131578
"2020-01-06 10:57:00",16.68,16.70,16.70,16.67,47153
"2020-01-06 10:58:00",16.70,16.70,16.71,16.69,72820
"2020-01-06 10:59:00",16.70,16.70,16.70,16.70,200
"2020-01-06 11:00:00",16.70,16.70,16.70,16.70,200
"2020-01-06 11:01:00",16.67,16.68,16.68,16.66,149488
"2020-01-06 11:02:00",16.69,16.68,16.69,16.67,14419
"2020-01-06 11:03:00",16.67,16.66,16.68,16.65,87373
"2020-01-06 11:04:00",16.67,16.69,16.70,16.66,26027
"2020-01-06 11:05:00",16.70,16.68,16.70,16.68,26144
"2020-01-06 11:06:00",16.68,16.70,16.71,16.68,21652
"2020-01-06 11:07:00",16.70,16.70,16.71,16.70,7111
"2020-01-06 11:08:00",16.70,16.71,16.71,16.70,6178
"2020-01-06 11:09:00",16.71,16.72,16.72,16.70,40443
"2020-01-06 11:10:00",16.71,16.73,16.73,16.70,112575
"2020-01-06 11:11:00",16.73,16.73,16.74,16.72,25109
"2020-01-06 11:12:00",16.73,16.72,16.74,16.71,40424
"2020-01-06 11:13:00",16.72,16.71,16.72,16.69,34114
